0.155,0.028,0.255,0.242,0.329,0.195,R0
0.155,0.093,0.253,0.173,0.219,0.175,R0
0.155,0.101,0.22,0.155,0.194,0.186,R0
0.155,0.122,0.118,0.229,0.298,0.352,R2
0.155,0.218,0.222,0.203,0.137,0.132,R0
0.156,0.193,0.298,0.148,0.094,0.151,R0
0.156,0.259,0.131,0.134,0.226,0.323,R3
0.156,0.398,0.25,0.279,0.172,0.314,R0
0.157,0.101,0.215,0.159,0.199,0.192,R0
0.157,0.143,0.191,0.262,0.313,0.22,R0
0.157,0.284,0.187,0.206,0.104,0.132,R0
0.158,0.019,0.183,0.27,0.31,0.393,R1R5
0.158,0.036,0.179,0.274,0.322,0.407,R1R5
0.158,0.074,0.224,0.313,0.512,0.295,R1R5
0.158,0.404,0.269,0.28,0.191,0.318,R0
0.158,0.67,0.175,0.516,0.401,0.442,R1R2R3R5
0.159,0.028,0.239,0.356,0.466,0.177,R1R2
0.159,0.032,0.258,0.244,0.335,0.191,R0
0.159,0.387,0.125,0.234,0.16,0.37,R0
0.16,0.111,0.283,0.205,0.32,0.237,R0
0.161,0.194,0.295,0.138,0.088,0.137,R0
0.161,0.207,0.118,0.151,0.139,0.212,R0
0.161,0.219,0.346,0.153,0.248,0.181,R0
0.161,0.485,0.126,0.218,0.132,0.344,R2R3R5
0.162,0.125,0.123,0.14,0.335,0.217,R0
0.162,0.185,0.162,0.293,0.198,0.1,R0
0.162,0.224,0.347,0.17,0.263,0.182,R0
0.163,0.036,0.185,0.278,0.327,0.411,R1R5
0.163,0.088,0.252,0.176,0.225,0.17,R0
0.163,0.129,0.124,0.231,0.313,0.359,R2
0.163,0.201,0.3,0.153,0.097,0.154,R0
0.163,0.219,0.225,0.204,0.138,0.142,R0
0.163,0.29,0.191,0.216,0.1,0.13,R0
0.163,0.316,0.142,0.129,0.161,0.297,R0
0.163,0.324,0.134,0.117,0.165,0.293,R0
0.163,0.494,0.126,0.232,0.134,0.352,R2R3R5
0.164,0.051,0.186,0.291,0.341,0.427,R1R5
0.164,0.121,0.118,0.125,0.34,0.203,R0
0.164,0.395,0.175,0.214,0.132,0.297,R3
0.165,0.064,0.147,0.275,0.388,0.261,R0
0.165,0.11,0.132,0.107,0.217,0.228,R0
0.165,0.132,0.125,0.144,0.344,0.219,R0
0.165,0.226,0.215,0.193,0.145,0.274,R0
0.165,0.679,0.169,0.527,0.415,0.445,R1R2R3R5
0.166,0.051,0.135,0.26,0.382,0.257,R0
0.166,0.103,0.225,0.163,0.206,0.197,R0
0.166,0.134,0.128,0.148,0.348,0.228,R0
0.166,0.186,0.216,0.213,0.325,0.151,R0
0.166,0.204,0.173,0.301,0.209,0.116,R0
0.166,0.214,0.303,0.153,0.103,0.166,R0
0.166,0.22,0.214,0.195,0.29,0.213,R0
0.166,0.297,0.2,0.223,0.106,0.132,R0
0.166,0.325,0.15,0.134,0.167,0.306,R0
0.166,0.382,0.108,0.23,0.152,0.367,R0
0.166,0.406,0.254,0.284,0.177,0.321,R0
